meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.8922,0.2107,0.8303,0.0381,0.0290,0.1162,-0.0347,0.1504,0.6028,-17.6717,23.2170,62.1338,-204.5369,232.9069,626.4648,4.6834,5.3712,15.0757,right,11611553
0.9239,0.1547,0.6499,0.0589,0.0322,0.1082,0.0484,0.1363,0.6276,-9.0251,16.6460,49.0112,-178.4058,217.4450,614.9902,1.1719,2.6221,8.5449,right,11611553
0.9301,0.1498,0.6594,0.0470,0.0317,0.1195,-0.0177,0.1142,0.4865,-10.3280,13.4871,38.8184,-163.7486,217.7073,632.0190,2.1232,2.5445,7.2632,right,11611553
0.9190,0.1970,0.8376,0.0662,0.0368,0.1199,0.0313,0.1533,0.6186,-18.3390,22.2053,68.2373,-192.4316,253.4296,700.5005,1.1149,1.9271,6.4087,right,11611553
0.9271,0.1419,0.6176,0.0133,0.0191,0.0684,-0.0693,0.0973,0.4619,-9.7087,18.8354,55.2368,-176.8758,231.4860,690.2466,1.6683,4.5471,15.6250,right,11611553
0.9249,0.2452,0.9719,0.0714,0.0409,0.1253,-0.1132,0.2100,0.7711,-6.6976,12.8283,33.0200,-211.0921,228.6104,571.1670,-0.3459,3.0421,12.3291,right,11611553
0.9059,0.1114,0.4888,0.0184,0.0219,0.0717,-0.1501,0.0656,0.3235,-7.1086,16.2015,47.8516,-153.6174,225.9872,691.2231,-2.1118,1.9161,6.2866,right,11611553
0.9119,0.1717,0.7439,0.0551,0.0439,0.1371,-0.1190,0.1134,0.5238,-8.2967,16.3130,52.6123,-181.2500,237.9961,687.0117,-3.3854,1.9478,7.9956,right,11611553
0.8920,0.2004,0.8375,0.0894,0.0390,0.1218,-0.0331,0.1738,0.6507,-11.0474,15.5705,42.6636,-190.7436,242.1000,649.1089,-3.8583,3.5224,14.0381,right,11611553
0.9739,0.1585,0.6816,0.0850,0.0305,0.1061,-0.1491,0.0806,0.3810,-5.3711,12.0989,35.3394,-180.2124,243.7654,682.8613,2.0589,3.4699,9.5825,right,11611553
0.8312,0.2432,0.8525,0.1078,0.0266,0.1069,-0.3048,0.1627,0.5358,1.9165,6.7860,25.8789,-213.8428,173.7510,518.3105,-4.6590,3.2176,13.1836,right,11611553
0.8592,0.2143,0.8681,0.0951,0.0462,0.1428,-0.2066,0.0895,0.3755,-9.4238,10.8765,33.3862,-197.6318,267.7156,701.1108,3.9632,13.0016,35.8887,right,11611553
1.0031,0.1479,0.5369,-0.0277,0.0291,0.0827,-0.0922,0.0974,0.3426,-19.7876,28.5243,77.8198,-235.9192,263.3575,710.9985,-0.3967,3.2538,11.2305,right,11611553
0.9977,0.1831,0.7834,0.0414,0.0241,0.0779,0.0531,0.1323,0.5998,-22.2982,19.5182,52.2461,-194.1691,252.0433,711.4258,-0.1465,2.9415,11.0474,right,11611553
0.8899,0.3024,0.9261,0.0554,0.0316,0.1017,-0.1348,0.2693,0.8185,-19.5652,14.9451,38.3911,-332.5602,208.7569,533.6914,-9.7114,3.4549,11.0474,right,11611553
0.9020,0.2199,0.9041,0.0665,0.0428,0.1375,0.1244,0.2644,1.0336,-27.5431,22.7785,56.2744,-235.5835,256.4545,669.3726,0.5900,6.3469,22.5220,right,11611553
0.8625,0.3236,1.0621,0.0989,0.0408,0.1439,-0.1357,0.2518,0.8217,-14.6441,19.6365,54.3823,-249.6207,183.2235,456.4819,-12.0850,12.0496,44.1284,right,11611553
0.9045,0.2587,0.8942,0.1015,0.0333,0.1167,-0.0850,0.1890,0.6453,-11.8190,14.8587,43.8843,-240.5875,225.5194,566.9556,-6.6877,6.6154,23.6206,right,11611553
0.9164,0.2378,0.9063,0.1016,0.0274,0.1052,-0.1361,0.1929,0.7322,-7.6864,14.1287,48.8892,-220.9554,214.3226,537.1094,-4.1585,9.6905,32.2266,right,11611553
0.8775,0.2588,0.9208,0.0845,0.0152,0.0505,-0.1330,0.2371,0.7729,-2.3586,7.3621,25.6348,-248.5090,192.4574,506.2256,-4.5210,10.3260,37.6587,right,11611553
0.9170,0.2086,0.7961,0.1353,0.0271,0.0864,-0.0764,0.2147,0.6808,13.6271,5.5071,17.3950,-233.6751,183.9531,556.7017,-10.1400,7.4776,32.4707,right,11611553
0.8910,0.2303,0.7632,0.0246,0.0401,0.1297,-0.2269,0.0856,0.3019,5.8105,6.6453,19.1650,-260.7239,184.9837,502.8687,10.6628,3.8546,14.4043,left,11611553
0.8775,0.1884,0.7431,0.0410,0.0591,0.1677,-0.1886,0.1204,0.4405,22.5736,22.6281,62.2559,-210.0126,194.2454,483.2153,11.1976,5.4991,17.8223,left,11611553
0.9483,0.2009,0.8469,0.0547,0.0583,0.2600,-0.1633,0.1519,0.5128,-6.3395,12.3522,48.8892,-211.6699,245.2735,689.6362,14.8682,11.1293,36.4990,left,11611553
0.7992,0.1934,0.7695,0.0593,0.0360,0.1308,-0.4562,0.1745,0.6406,13.5539,19.6047,69.3970,-184.9121,179.8110,461.0596,6.4494,7.5983,27.6489,left,11611553
0.8694,0.2078,0.7306,-0.1532,0.0453,0.1420,-0.3517,0.1813,0.5330,16.2231,27.8214,82.5806,-190.1733,151.7699,412.0483,17.6717,12.0262,31.5552,left,11611553
0.8833,0.1764,0.7333,-0.1092,0.0398,0.1253,-0.3664,0.1163,0.4152,19.9422,14.3944,41.6260,-188.6190,172.8913,461.6699,3.7028,4.1125,14.4043,left,11611553
0.8465,0.2333,0.8301,-0.1179,0.0217,0.0732,-0.3720,0.1637,0.5735,15.8529,18.4757,51.5137,-193.7663,146.6014,396.3013,13.2365,10.1107,31.6772,left,11611553
0.7905,0.1798,0.6783,-0.0927,0.0243,0.0931,-0.4623,0.1119,0.3641,19.4214,22.0805,60.6079,-158.1217,144.4148,389.8315,2.2380,4.8787,17.2729,left,11611553
0.8469,0.2083,0.7576,-0.1672,0.0379,0.1382,-0.3206,0.1394,0.4473,15.8122,24.1670,65.7959,-203.4627,179.6865,452.5146,3.7313,6.5934,20.5078,left,11611553
0.8082,0.1904,0.7063,-0.2458,0.0244,0.0949,-0.4013,0.0949,0.3062,-2.9175,15.6192,43.6401,-207.4748,173.1218,514.8926,6.2907,5.9307,25.6958,left,11611553
0.7911,0.2199,0.8244,-0.3306,0.0331,0.1039,-0.4601,0.1106,0.3422,1.7863,11.9055,40.0391,-202.1322,200.7670,537.4146,6.4494,5.7833,19.1040,left,11611553
0.7548,0.1526,0.5841,-0.2815,0.0162,0.0544,-0.4656,0.1300,0.4067,1.2207,21.1989,67.2607,-198.9217,200.1472,531.9824,3.6947,4.8194,16.4795,left,11611553
0.8205,0.1909,0.6765,-0.2762,0.0230,0.0820,-0.4010,0.1323,0.4995,-3.0436,18.1273,55.7251,-196.5820,194.6786,529.3579,-5.7983,8.4267,25.8179,left,11611553
0.7322,0.2273,0.7631,-0.2732,0.0149,0.0409,-0.3784,0.1283,0.4283,5.7983,13.7334,47.4854,-215.1449,162.5398,415.1001,-3.6947,12.4376,39.9780,left,11611553
0.7141,0.1950,0.6769,-0.2410,0.0237,0.0945,-0.5625,0.1037,0.3041,-2.2461,20.2776,65.8569,-190.3809,183.2139,489.2578,-10.4858,6.1426,20.6909,left,11611553
0.7180,0.1554,0.5906,-0.3182,0.0120,0.0392,-0.5729,0.0987,0.3068,-6.0221,18.8462,66.3452,-184.3587,174.2322,489.6240,5.8797,7.4679,27.7710,left,11611553
0.7245,0.1849,0.6985,-0.2096,0.0240,0.0817,-0.4988,0.1129,0.3981,14.5793,16.3300,57.6782,-193.3105,202.6373,559.0820,-14.9373,20.8473,60.7910,left,11611553
0.7381,0.1736,0.6304,-0.2016,0.0491,0.1478,-0.5121,0.0735,0.2747,6.2174,18.0179,56.7627,-175.7650,173.3199,501.1597,4.9927,8.6445,31.7993,left,11611553
0.7342,0.1499,0.5619,-0.2204,0.0124,0.0461,-0.5805,0.1057,0.3770,9.0454,7.9147,25.5737,-137.3047,187.2994,486.3892,-7.4422,9.1229,28.9307,left,11611553
0.7271,0.1380,0.5312,-0.2229,0.0174,0.0652,-0.6639,0.0664,0.2300,10.8846,12.9742,40.8936,-140.6047,131.0831,364.8071,-0.6551,7.1362,23.9258,left,11611553
0.8896,0.1963,0.7880,-0.1045,0.0439,0.1599,-0.0838,0.2165,0.8689,-21.5413,19.1417,49.6826,-203.0029,205.3687,514.9536,3.0355,6.0324,21.9116,up,11611553
0.6145,0.1912,0.5662,0.2206,0.0405,0.1219,-0.0709,0.1211,0.4279,6.9397,9.3870,36.6821,-240.9851,253.7267,646.4233,45.6970,17.3501,52.6733,up,11611553
0.6595,0.2450,0.8918,0.2142,0.0536,0.2022,-0.1777,0.2036,0.8315,6.0425,9.1863,36.9263,-181.4982,233.8967,630.3711,15.8447,15.5723,54.1382,up,11611553
0.6283,0.2139,0.8050,0.2114,0.0258,0.0825,-0.2754,0.1770,0.7307,2.3682,7.3096,26.0620,-186.1857,219.4561,590.5762,7.5236,5.6097,16.4185,up,11611553
0.7934,0.1781,0.7803,0.2478,0.0299,0.0908,-0.2878,0.1238,0.5486,-0.1872,14.7285,40.5273,-165.7389,239.5129,641.2354,9.1960,13.7451,39.3677,up,11611553
0.8107,0.2388,0.8072,0.2772,0.0169,0.0577,-0.1756,0.2096,0.7094,-7.6904,8.9441,23.0103,-335.0601,272.0051,672.3022,16.8304,12.7356,33.9966,up,11611553
0.7940,0.2276,0.7559,0.2723,0.0317,0.1094,-0.2212,0.1581,0.6500,-0.9813,9.2447,33.9966,-195.9369,258.7049,682.5562,16.5171,12.0420,36.4380,up,11611553
0.6714,0.2419,0.8004,0.2050,0.0540,0.1937,-0.1195,0.1150,0.4465,-10.3353,16.5471,74.2798,-169.5557,238.8883,696.5332,-4.5166,8.6725,28.9307,up,11611553
0.7273,0.3125,0.9801,0.1435,0.0439,0.1518,-0.2112,0.1279,0.5270,-10.4126,7.6984,33.8135,-207.7922,281.0923,784.3628,8.7769,18.2531,53.7720,up,11611553
0.7668,0.1978,0.7984,0.1730,0.0487,0.1606,-0.2027,0.1474,0.5676,-8.6344,11.2229,40.7715,-222.9614,239.6578,624.7559,6.6243,10.9678,34.6680,up,11611553
0.9340,0.1710,0.7141,0.0213,0.0172,0.0755,-0.2336,0.1060,0.3688,-14.0828,23.2995,64.7583,-170.5688,242.4491,704.1626,0.3825,5.5380,17.8833,up,11611553
0.7978,0.2048,0.8000,0.0960,0.0298,0.1105,-0.4826,0.1346,0.4863,-11.4421,12.1718,41.6260,-163.1266,202.7448,512.4512,-0.6063,4.6091,13.4888,up,11611553
0.8145,0.1975,0.7299,0.0477,0.0183,0.0607,-0.3414,0.1418,0.5056,-10.5387,9.9550,28.9307,-185.3678,173.2266,441.2231,1.6764,6.8656,21.7285,up,11611553
0.8274,0.1661,0.6472,0.0572,0.0409,0.1191,-0.3396,0.1257,0.5251,-9.9487,8.2091,29.7241,-168.6849,164.9925,469.7876,6.3314,8.8450,28.5034,up,11611553
0.7805,0.1431,0.5707,0.1301,0.0353,0.0952,-0.1453,0.1196,0.4877,-9.9976,15.4437,47.1802,-178.7842,205.8107,560.1807,-12.6465,7.5800,23.0103,up,11611553
0.8275,0.1536,0.6387,0.1185,0.0184,0.0720,-0.1921,0.1145,0.5015,-11.8449,16.8134,51.6968,-196.3989,240.0837,652.7100,-6.8481,6.4758,23.4985,up,11611553
0.7985,0.1915,0.8162,0.1699,0.0267,0.0938,-0.1977,0.1812,0.7988,-7.6457,17.1597,72.4487,-197.1842,248.0033,650.4517,-2.0182,7.5787,21.5454,up,11611553
0.7409,0.1822,0.7460,0.1437,0.0312,0.1024,-0.2431,0.1279,0.5551,-9.6965,12.3764,38.6963,-200.5615,236.3316,633.7280,-8.2723,6.3203,24.2920,up,11611553
